id,section,tags,level,status,version,created_at,updated_at,term_es,short_es,long_es,example_es,term_en,short_en,long_en,example_en
accountability,etica_regulacion,responsabilidad;etica;gobernanza,intermedio,activo,1,2025-11-13,2025-11-13,Responsabilidad (Accountability),Obligación de asignar y rastrear quién es responsable por las decisiones y errores de sistemas de IA.,Obligación de asignar y rastrear quién es responsable por las decisiones y errores de sistemas de IA.,Designar dueños de modelos en entornos de producción.,Accountability,Obligation to assign and track who is responsible for AI systems' decisions and errors.,Obligation to assign and track who is responsible for AI systems' decisions and errors.,Assigning model owners in production environments.
activation_function,fundamentos,redes;matematicas;neurona,intermedio,activo,1,2025-11-13,2025-11-13,Función de activación,"Función matemática aplicada a la salida de una neurona artificial que decide si debe activarse o no, introduciendo no linealidad en la red.","Función matemática aplicada a la salida de una neurona artificial que decide si debe activarse o no, introduciendo no linealidad en la red.","ReLU, Sigmoid y Tanh son funciones de activación comunes que permiten a la red aprender patrones complejos.",Activation function,"Mathematical function applied to the output of an artificial neuron that determines if it should be activated, introducing non-linearity to the network.","Mathematical function applied to the output of an artificial neuron that determines if it should be activated, introducing non-linearity to the network.","ReLU, Sigmoid and Tanh are common activation functions that allow the network to learn complex patterns."
adversarial_attacks,etica_regulacion,seguridad;ataques;robustez,avanzado,activo,1,2025-11-13,2025-11-13,Ataques adversariales,Técnicas que manipulan entradas de forma imperceptible para humanos pero que engañan al modelo.,Técnicas que manipulan entradas de forma imperceptible para humanos pero que engañan al modelo.,Añadir ruido a una imagen de stop para que el modelo la clasifique como límite de velocidad.,Adversarial attacks,Techniques that manipulate inputs in ways imperceptible to humans but that fool the model.,Techniques that manipulate inputs in ways imperceptible to humans but that fool the model.,Adding noise to a stop sign image so the model classifies it as speed limit.
agente_autonomo,aplicaciones_herramientas,agentes;automatizacion,avanzado,activo,1,2025-11-13,2025-11-13,Agente autónomo,Modelo o sistema que encadena acciones para ejecutar tareas complejas con poca supervisión humana.,Modelo o sistema que encadena acciones para ejecutar tareas complejas con poca supervisión humana.,Bots que gestionan inventarios o actualizan informes de forma automática.,Autonomous agent,Model or system that chains actions to perform complex tasks with little human supervision.,Model or system that chains actions to perform complex tasks with little human supervision.,Bots that manage inventories or update reports automatically.
agi,fundamentos,agi;inteligencia_general;futuro,avanzado,activo,1,2025-11-13,2025-11-13,Inteligencia Artificial General (AGI),"Sistema de IA hipotético capaz de entender, aprender y aplicar conocimiento en cualquier tarea intelectual al nivel humano o superior.","Sistema de IA hipotético capaz de entender, aprender y aplicar conocimiento en cualquier tarea intelectual al nivel humano o superior.","A diferencia de la IA actual (estrecha), AGI podría pasar de diagnosticar enfermedades a componer sinfonías sin reentrenamiento.",Artificial General Intelligence (AGI),"Hypothetical AI system capable of understanding, learning and applying knowledge across any intellectual task at or above human level.","Hypothetical AI system capable of understanding, learning and applying knowledge across any intellectual task at or above human level.","Unlike current (narrow) AI, AGI could switch from diagnosing diseases to composing symphonies without retraining."
agentic_ai,aplicaciones_herramientas,agentes;autonomia;razonamiento,avanzado,activo,1,2025-11-13,2025-11-13,IA agéntica (Agentic AI),"Sistemas de IA capaces de planificar, razonar y ejecutar tareas complejas de forma autónoma con mínima supervisión humana.","Sistemas de IA capaces de planificar, razonar y ejecutar tareas complejas de forma autónoma con mínima supervisión humana.","Agentes que investigan un tema, escriben un informe y lo envían automáticamente.",Agentic AI,"AI systems capable of planning, reasoning and executing complex tasks autonomously with minimal human supervision.","AI systems capable of planning, reasoning and executing complex tasks autonomously with minimal human supervision.","Agents that research a topic, write a report and send it automatically."
ai_act,etica_regulacion,regulacion;ue;ley,intermedio,activo,1,2025-11-13,2025-11-13,Regulación europea de IA (AI Act),Marco legal de la Unión Europea que clasifica sistemas de IA por niveles de riesgo y define obligaciones.,Marco legal de la Unión Europea que clasifica sistemas de IA por niveles de riesgo y define obligaciones.,Documentar el uso de IA en procesos críticos de la empresa.,EU AI Act,European Union legal framework that classifies AI systems by risk levels and defines obligations.,European Union legal framework that classifies AI systems by risk levels and defines obligations.,Documenting the use of AI in the company's critical processes.
ai_governance,etica_regulacion,gobernanza;estrategia;control,intermedio,activo,1,2025-11-13,2025-11-13,Gobernanza de IA,"Marco de políticas, procesos y controles para gestionar el desarrollo y uso responsable de IA en la organización.","Marco de políticas, procesos y controles para gestionar el desarrollo y uso responsable de IA en la organización.",Comité de ética de IA que aprueba casos de uso antes de producción.,AI governance,"Framework of policies, processes and controls to manage responsible AI development and use in the organization.","Framework of policies, processes and controls to manage responsible AI development and use in the organization.",AI ethics committee that approves use cases before production.
ai_slop,etica_regulacion,calidad;generativa;contenido;etica,intermedio,activo,1,2025-11-13,2025-11-13,AI slop (basura de IA),"Contenido generado automáticamente de baja calidad, repetitivo, genérico o sin valor real que inunda webs, redes sociales y documentos.","Contenido generado automáticamente de baja calidad, repetitivo, genérico o sin valor real que inunda webs, redes sociales y documentos.",Artículos de 800 palabras rellenos de frases vacías creadas por LLMs para posicionar SEO sin aportar nada útil.,AI slop,"Low-quality, repetitive, generic or valueless content mass-produced by AI that floods websites, social media and documents.","Low-quality, repetitive, generic or valueless content mass-produced by AI that floods websites, social media and documents.",800-word SEO articles filled with empty phrases created by LLMs that provide no real value.
alignment,etica_regulacion,etica;alineacion;valores,avanzado,activo,1,2025-11-13,2025-11-13,Alineación (Alignment),Proceso de asegurar que los objetivos y comportamientos de un sistema de IA coincidan con los valores e intenciones humanas.,Proceso de asegurar que los objetivos y comportamientos de un sistema de IA coincidan con los valores e intenciones humanas.,"Entrenar modelos para que sean útiles, honestos e inofensivos.",Alignment,Process of ensuring AI system goals and behaviors match human values and intentions.,Process of ensuring AI system goals and behaviors match human values and intentions.,"Training models to be helpful, honest and harmless."
